팀,경기수,승,패,무,승률,게임차,연속,출루율,장타율,최근10경기
"


LG

",116,70,44,2,0.614,0.0,2승,0.368,0.398,5승-5패-0무
"


KT

",119,65,52,2,0.556,6.5,1승,0.336,0.369,5승-5패-0무
"


NC

",114,61,51,2,0.545,8.0,4승,0.351,0.392,8승-2패-0무
"


SSG

",116,61,54,1,0.530,9.5,3패,0.334,0.389,3승-7패-0무
"


KIA

",111,57,52,2,0.523,10.5,2패,0.344,0.392,8승-2패-0무
"


두산

",113,56,56,1,0.500,13.0,1승,0.331,0.369,5승-5패-0무
"


롯데

",115,54,61,0,0.470,16.5,1패,0.336,0.357,4승-6패-0무
"


삼성

",117,50,66,1,0.431,21.0,1패,0.333,0.370,4승-6패-0무
"


한화

",114,46,62,6,0.426,21.0,2승,0.324,0.348,4승-6패-0무
"


키움

",127,51,73,3,0.411,24.0,3패,0.328,0.349,4승-6패-0무
